Época 11/100 | Loss: 192.8159 | Acc: 0.2213
Época 12/100 | Loss: 185.5750 | Acc: 0.2340
Época 13/100 | Loss: 178.1698 | Acc: 0.2553
Época 14/100 | Loss: 171.0950 | Acc: 0.2745
Época 15/100 | Loss: 164.2213 | Acc: 0.2723
Época 16/100 | Loss: 157.8677 | Acc: 0.2936
Época 17/100 | Loss: 151.7976 | Acc: 0.3149
Época 18/100 | Loss: 146.2278 | Acc: 0.3340
Época 19/100 | Loss: 141.1628 | Acc: 0.3255
Época 20/100 | Loss: 136.3834 | Acc: 0.3468
Época 21/100 | Loss: 131.7874 | Acc: 0.3596
Época 22/100 | Loss: 127.4376 | Acc: 0.3532
Época 23/100 | Loss: 123.8923 | Acc: 0.3638
Época 24/100 | Loss: 119.9813 | Acc: 0.3681
Época 25/100 | Loss: 116.4965 | Acc: 0.3830
Época 26/100 | Loss: 113.3111 | Acc: 0.3787
Época 27/100 | Loss: 110.1086 | Acc: 0.3745
Época 28/100 | Loss: 107.2103 | Acc: 0.3766
Época 29/100 | Loss: 104.5237 | Acc: 0.3809
Época 30/100 | Loss: 101.9775 | Acc: 0.3894
Época 31/100 | Loss: 99.1232 | Acc: 0.3830
Época 32/100 | Loss: 96.6360 | Acc: 0.3979
Época 33/100 | Loss: 94.3670 | Acc: 0.3979
Época 34/100 | Loss: 92.1140 | Acc: 0.3851
Época 35/100 | Loss: 89.7114 | Acc: 0.4021
Época 36/100 | Loss: 87.7428 | Acc: 0.4000
Época 37/100 | Loss: 86.0397 | Acc: 0.4064
Época 38/100 | Loss: 83.8616 | Acc: 0.4191
Época 39/100 | Loss: 81.8164 | Acc: 0.3915
Época 40/100 | Loss: 79.9824 | Acc: 0.4064
Época 41/100 | Loss: 78.1927 | Acc: 0.3957
Época 42/100 | Loss: 76.6735 | Acc: 0.4021
Época 43/100 | Loss: 74.6203 | Acc: 0.4021
Época 44/100 | Loss: 73.1797 | Acc: 0.4085
Época 45/100 | Loss: 71.4327 | Acc: 0.4128
Época 46/100 | Loss: 69.8735 | Acc: 0.4191
Época 47/100 | Loss: 68.2054 | Acc: 0.4043
Época 48/100 | Loss: 66.7693 | Acc: 0.4128
Época 49/100 | Loss: 65.2426 | Acc: 0.4021
Época 50/100 | Loss: 63.5998 | Acc: 0.4085
Época 51/100 | Loss: 62.6322 | Acc: 0.4085
Época 52/100 | Loss: 61.1018 | Acc: 0.4149
Época 53/100 | Loss: 59.5778 | Acc: 0.4106
Época 54/100 | Loss: 58.2541 | Acc: 0.4085
Época 55/100 | Loss: 57.2597 | Acc: 0.4064
Época 56/100 | Loss: 55.8815 | Acc: 0.4277
Época 57/100 | Loss: 54.5039 | Acc: 0.4149
Época 58/100 | Loss: 53.3146 | Acc: 0.4213
Época 59/100 | Loss: 52.0879 | Acc: 0.4085
Época 60/100 | Loss: 50.9880 | Acc: 0.4149
Época 61/100 | Loss: 49.8281 | Acc: 0.4234
Época 62/100 | Loss: 48.9355 | Acc: 0.4191
Época 63/100 | Loss: 47.6937 | Acc: 0.4191
Época 64/100 | Loss: 46.5470 | Acc: 0.4191
Época 65/100 | Loss: 45.5703 | Acc: 0.4170
Época 66/100 | Loss: 44.5687 | Acc: 0.4170
Época 67/100 | Loss: 43.4491 | Acc: 0.4170
Época 68/100 | Loss: 42.5428 | Acc: 0.4319
Época 69/100 | Loss: 41.6804 | Acc: 0.4277
Época 70/100 | Loss: 40.6702 | Acc: 0.4170
Época 71/100 | Loss: 39.7343 | Acc: 0.4277
Época 72/100 | Loss: 38.9014 | Acc: 0.4213
Época 73/100 | Loss: 38.2085 | Acc: 0.4170
Época 74/100 | Loss: 37.3618 | Acc: 0.4213
Época 75/100 | Loss: 36.2210 | Acc: 0.4255
Época 76/100 | Loss: 35.5207 | Acc: 0.4191
Época 77/100 | Loss: 34.7698 | Acc: 0.4319
Época 78/100 | Loss: 34.0085 | Acc: 0.4234
Época 79/100 | Loss: 33.3424 | Acc: 0.4255
Época 80/100 | Loss: 32.5578 | Acc: 0.4149
Época 81/100 | Loss: 31.8030 | Acc: 0.4213
Época 82/100 | Loss: 31.2097 | Acc: 0.4234
Época 83/100 | Loss: 30.4543 | Acc: 0.4191
Época 84/100 | Loss: 29.8133 | Acc: 0.4319
Época 85/100 | Loss: 29.3236 | Acc: 0.4170
Época 86/100 | Loss: 28.6242 | Acc: 0.4255
Época 87/100 | Loss: 27.9688 | Acc: 0.4319
Época 88/100 | Loss: 27.3158 | Acc: 0.4234
Época 89/100 | Loss: 26.8415 | Acc: 0.4234
Época 90/100 | Loss: 26.2904 | Acc: 0.4234
Época 91/100 | Loss: 25.8455 | Acc: 0.4277
Época 92/100 | Loss: 25.2070 | Acc: 0.4191
Época 93/100 | Loss: 24.6839 | Acc: 0.4277
Época 94/100 | Loss: 24.2799 | Acc: 0.4277
Época 95/100 | Loss: 23.8031 | Acc: 0.4319
Época 96/100 | Loss: 23.3427 | Acc: 0.4234
Época 97/100 | Loss: 22.8034 | Acc: 0.4277
Época 98/100 | Loss: 22.4620 | Acc: 0.4340
Época 99/100 | Loss: 21.8373 | Acc: 0.4319
Época 100/100 | Loss: 21.5196 | Acc: 0.4234
Época 1/100 | Loss: 246.1780 | Acc: 0.0426
Época 2/100 | Loss: 239.3183 | Acc: 0.0553
Época 3/100 | Loss: 234.1123 | Acc: 0.0745
Época 4/100 | Loss: 229.1053 | Acc: 0.0766
Época 5/100 | Loss: 223.8673 | Acc: 0.0851
Época 6/100 | Loss: 218.0747 | Acc: 0.1043
Época 7/100 | Loss: 211.8961 | Acc: 0.1106
Época 8/100 | Loss: 205.2547 | Acc: 0.1489
Época 9/100 | Loss: 198.3949 | Acc: 0.1617
Época 10/100 | Loss: 191.3223 | Acc: 0.1872
Época 11/100 | Loss: 184.0959 | Acc: 0.2191
Época 12/100 | Loss: 176.9860 | Acc: 0.2170
Época 13/100 | Loss: 170.1203 | Acc: 0.2319
Época 14/100 | Loss: 163.2562 | Acc: 0.2319
Época 15/100 | Loss: 157.2436 | Acc: 0.2617
Época 16/100 | Loss: 151.0307 | Acc: 0.2702
Época 17/100 | Loss: 145.4189 | Acc: 0.2872
Época 18/100 | Loss: 140.1583 | Acc: 0.2894
Época 19/100 | Loss: 135.2191 | Acc: 0.3149
Época 20/100 | Loss: 130.5553 | Acc: 0.3255
Época 21/100 | Loss: 125.9121 | Acc: 0.3000
Época 22/100 | Loss: 122.0605 | Acc: 0.3191
Época 23/100 | Loss: 118.3840 | Acc: 0.3191
Época 24/100 | Loss: 114.7405 | Acc: 0.3447
Época 25/100 | Loss: 111.4773 | Acc: 0.3277
Época 26/100 | Loss: 108.2833 | Acc: 0.3319
Época 27/100 | Loss: 105.5594 | Acc: 0.3532
Época 28/100 | Loss: 102.5306 | Acc: 0.3617
Época 29/100 | Loss: 99.8537 | Acc: 0.3617
Época 30/100 | Loss: 97.2753 | Acc: 0.3851
Época 31/100 | Loss: 95.0706 | Acc: 0.3851
Época 32/100 | Loss: 92.6208 | Acc: 0.3723
Época 33/100 | Loss: 90.1763 | Acc: 0.3809
Época 34/100 | Loss: 88.1746 | Acc: 0.3766
Época 35/100 | Loss: 86.1132 | Acc: 0.3745
Época 36/100 | Loss: 84.2238 | Acc: 0.3723
Época 37/100 | Loss: 82.3151 | Acc: 0.3872
Época 38/100 | Loss: 79.8300 | Acc: 0.3894
Época 39/100 | Loss: 78.3783 | Acc: 0.3851
Época 40/100 | Loss: 76.4879 | Acc: 0.3894
Época 41/100 | Loss: 75.0029 | Acc: 0.3809
Época 42/100 | Loss: 73.0016 | Acc: 0.3851
Época 43/100 | Loss: 71.4653 | Acc: 0.4000
Época 44/100 | Loss: 70.0173 | Acc: 0.3851
Época 45/100 | Loss: 68.5820 | Acc: 0.3957
Época 46/100 | Loss: 66.8259 | Acc: 0.3936
Época 47/100 | Loss: 65.3594 | Acc: 0.3979
Época 48/100 | Loss: 64.0572 | Acc: 0.3894
Época 49/100 | Loss: 62.4994 | Acc: 0.4064
Época 50/100 | Loss: 61.2984 | Acc: 0.3894
Época 51/100 | Loss: 59.9025 | Acc: 0.4021
Época 52/100 | Loss: 58.5766 | Acc: 0.3979
Época 53/100 | Loss: 57.2861 | Acc: 0.4064
Época 54/100 | Loss: 55.9957 | Acc: 0.3979
Época 55/100 | Loss: 54.5835 | Acc: 0.3979
Época 56/100 | Loss: 53.6707 | Acc: 0.4000
Época 57/100 | Loss: 52.3202 | Acc: 0.4106
Época 58/100 | Loss: 51.0814 | Acc: 0.4064
Época 59/100 | Loss: 50.1271 | Acc: 0.3787
Época 60/100 | Loss: 48.9323 | Acc: 0.3979
Época 61/100 | Loss: 48.0333 | Acc: 0.3872
Época 62/100 | Loss: 47.2014 | Acc: 0.3957
Época 63/100 | Loss: 45.7935 | Acc: 0.4021
Época 64/100 | Loss: 44.8630 | Acc: 0.3979
Época 65/100 | Loss: 43.7888 | Acc: 0.4085
Época 66/100 | Loss: 42.9738 | Acc: 0.4064
Época 67/100 | Loss: 41.8546 | Acc: 0.4021
Época 68/100 | Loss: 41.0127 | Acc: 0.4064
Época 69/100 | Loss: 40.1508 | Acc: 0.3979
Época 70/100 | Loss: 39.4487 | Acc: 0.4043
Época 71/100 | Loss: 38.4658 | Acc: 0.4021
Época 72/100 | Loss: 37.6452 | Acc: 0.3872
Época 73/100 | Loss: 36.7554 | Acc: 0.4000
Época 74/100 | Loss: 35.9759 | Acc: 0.4064
Época 75/100 | Loss: 35.2350 | Acc: 0.4000
Época 76/100 | Loss: 34.6247 | Acc: 0.3936
Época 77/100 | Loss: 33.7069 | Acc: 0.3979
Época 78/100 | Loss: 32.9764 | Acc: 0.4000
Época 79/100 | Loss: 32.3625 | Acc: 0.4021
Época 80/100 | Loss: 31.6786 | Acc: 0.3979
Época 81/100 | Loss: 30.9506 | Acc: 0.4043
Época 82/100 | Loss: 30.2772 | Acc: 0.4043
Época 83/100 | Loss: 29.6280 | Acc: 0.3872
Época 84/100 | Loss: 29.1668 | Acc: 0.3957
Época 85/100 | Loss: 28.3575 | Acc: 0.3936
Época 86/100 | Loss: 27.8403 | Acc: 0.4021
Época 87/100 | Loss: 27.3529 | Acc: 0.3979
Época 88/100 | Loss: 26.7992 | Acc: 0.3936
Época 89/100 | Loss: 26.2700 | Acc: 0.4000
Época 90/100 | Loss: 25.8660 | Acc: 0.3979
Época 91/100 | Loss: 25.3448 | Acc: 0.4064
Época 92/100 | Loss: 24.6713 | Acc: 0.4000
Época 93/100 | Loss: 24.2597 | Acc: 0.4064
Época 94/100 | Loss: 23.7288 | Acc: 0.4064
Época 95/100 | Loss: 23.3455 | Acc: 0.4000
Época 96/100 | Loss: 22.9579 | Acc: 0.4043
Época 97/100 | Loss: 22.5518 | Acc: 0.4021
Época 98/100 | Loss: 21.9663 | Acc: 0.3915
Época 99/100 | Loss: 21.5736 | Acc: 0.3979
Época 100/100 | Loss: 21.2512 | Acc: 0.4021
Época 1/100 | Loss: 248.7653 | Acc: 0.0277
Época 2/100 | Loss: 241.7051 | Acc: 0.0277
Época 3/100 | Loss: 236.9225 | Acc: 0.0383
Época 4/100 | Loss: 232.4782 | Acc: 0.0489
Época 5/100 | Loss: 227.8785 | Acc: 0.0617
Época 6/100 | Loss: 222.6737 | Acc: 0.0766
Época 7/100 | Loss: 217.0697 | Acc: 0.1064
Época 8/100 | Loss: 210.9700 | Acc: 0.1340
Época 9/100 | Loss: 204.5219 | Acc: 0.1426
Época 10/100 | Loss: 197.5409 | Acc: 0.1787
Época 11/100 | Loss: 190.2759 | Acc: 0.1936
Época 12/100 | Loss: 183.1547 | Acc: 0.2277
Época 13/100 | Loss: 175.8716 | Acc: 0.2574
Época 14/100 | Loss: 169.0976 | Acc: 0.2787
Época 15/100 | Loss: 162.3959 | Acc: 0.3021
Época 16/100 | Loss: 155.9430 | Acc: 0.3149
Época 17/100 | Loss: 150.1824 | Acc: 0.3298
Época 18/100 | Loss: 144.7324 | Acc: 0.3468
Época 19/100 | Loss: 139.4045 | Acc: 0.3447
Época 20/100 | Loss: 134.8974 | Acc: 0.3426
Época 21/100 | Loss: 130.3731 | Acc: 0.3447
Época 22/100 | Loss: 126.4283 | Acc: 0.3553
Época 23/100 | Loss: 122.5460 | Acc: 0.3723
